student_id,full_name,gender,math_score,english_score,science_score,attendance_rate,term,district
8606-817,Patricia Johnson,Female,66.0,26.0,92.0,95.87,2024_T1,New York District
3290-146,Michael Johnson,Male,81.0,,41.0,92.87,2023_T2,New York District
2592-340,Linda Johnson,Male,89.0,45.0,33.0,78.43,2023_T2,New York District
9850-529,Linda Davis,Male,46.0,85.0,,63.69,2023_T2,New York District
7686-386,Mary Wilson,Male,0.0,7.0,98.0,71.08,2024_T1,New York District
8264-555,Jennifer Jones,Male,89.0,27.0,,79.38,2023_T2,New York District
9920-760,Mary Davis,Female,6.0,2.0,22.0,65.91,2023_T1,New York District
4109-225,Michael Brown,Female,98.0,14.0,,77.9,2023_T1,New York District
1349-151,Patricia Taylor,Female,85.0,89.0,43.0,72.88,2023_T1,New York District
4362-170,John Taylor,Male,17.0,99.0,85.0,74.2,2024_T1,New York District
6383-892,Patricia Jones,Male,40.0,100.0,5.0,65.1,2024_T1,New York District
3370-233,James Brown,Female,,100.0,32.0,79.93,2023_T1,New York District
3159-115,Mary Smith,Female,93.0,74.0,61.0,79.51,2023_T1,New York District
1258-278,Elizabeth Davis,Female,30.0,39.0,100.0,63.21,2023_T1,New York District
9619-216,John Miller,Male,3.0,78.0,5.0,98.78,2023_T2,New York District
9408-707,Linda Davis,Male,65.0,78.0,74.0,92.83,2023_T2,New York District
1710-844,William Jones,Female,67.0,18.0,83.0,67.48,2023_T2,New York District
8847-967,James Smith,Female,63.0,37.0,36.0,84.42,2023_T2,New York District
8267-175,Mary Wilson,Male,5.0,49.0,9.0,83.76,2023_T2,New York District
2076-229,Elizabeth Williams,Female,83.0,64.0,62.0,87.38,2024_T1,New York District
6327-490,Elizabeth Moore,Female,34.0,93.0,94.0,78.86,2023_T2,New York District
8048-201,William Taylor,Male,74.0,,33.0,64.97,2024_T1,New York District
8046-562,William Jones,Male,63.0,92.0,71.0,82.98,2023_T2,New York District
7532-525,Jennifer Wilson,Male,36.0,4.0,82.0,93.01,2023_T2,New York District
5176-483,Michael Davis,Male,88.0,17.0,39.0,95.09,2024_T1,New York District
2494-951,Linda Johnson,Male,96.0,22.0,62.0,84.96,2023_T1,New York District
7105-931,Michael Johnson,Male,77.0,52.0,50.0,75.36,2024_T1,New York District
6400-786,James Taylor,Male,41.0,63.0,14.0,89.22,2023_T2,New York District
1842-394,Jennifer Miller,Female,28.0,37.0,56.0,82.93,2023_T2,New York District
9313-317,Mary Taylor,Male,85.0,65.0,9.0,61.34,2024_T1,New York District
2773-458,Linda Jones,Female,46.0,99.0,87.0,81.46,2023_T1,New York District
4705-926,Robert Taylor,Female,67.0,75.0,44.0,79.45,2024_T1,New York District
1430-723,Elizabeth Taylor,Female,42.0,26.0,68.0,81.71,2023_T1,New York District
6062-447,John Brown,Female,22.0,46.0,89.0,69.09,2023_T1,New York District
7566-171,John Williams,Male,88.0,96.0,59.0,80.24,2024_T1,New York District
9691-320,James Johnson,Female,36.0,,,91.6,2023_T2,New York District
3578-478,Linda Davis,Female,40.0,85.0,10.0,64.17,2024_T1,New York District
2391-153,Jennifer Taylor,Male,53.0,86.0,56.0,93.56,2023_T1,New York District
2336-378,Elizabeth Smith,Female,46.0,72.0,,84.32,2024_T1,New York District
8242-524,Michael Wilson,Female,62.0,24.0,89.0,73.34,2023_T1,New York District
6655-540,William Johnson,Male,16.0,42.0,58.0,89.5,2023_T2,New York District
9633-783,Elizabeth Wilson,Female,69.0,87.0,32.0,79.93,2023_T1,New York District
1897-107,Patricia Miller,Male,84.0,48.0,70.0,60.52,2023_T2,New York District
5186-396,Patricia Williams,Female,62.0,60.0,48.0,94.43,2023_T1,New York District
8055-279,James Wilson,Male,55.0,82.0,,77.07,2023_T2,New York District
9196-672,William Jones,Female,39.0,18.0,17.0,78.88,2023_T1,New York District
8147-119,Michael Smith,Female,93.0,37.0,50.0,81.38,2023_T1,New York District
8033-687,Jennifer Taylor,Female,31.0,9.0,73.0,97.84,2024_T1,New York District
2887-514,Michael Brown,Male,31.0,,6.0,99.16,2023_T2,New York District
8538-951,John Taylor,Female,58.0,71.0,53.0,69.24,2023_T1,New York District
4986-546,Michael Johnson,Female,7.0,33.0,34.0,82.27,2024_T1,New York District
6083-863,Mary Miller,Female,67.0,36.0,53.0,93.21,2023_T1,New York District
2251-622,Jennifer Williams,Male,6.0,32.0,22.0,60.52,2024_T1,New York District
6724-459,William Jones,Male,81.0,1.0,0.0,85.72,2023_T1,New York District
5193-302,Mary Williams,Male,86.0,11.0,19.0,75.19,2024_T1,New York District
3902-891,John Johnson,Female,43.0,98.0,85.0,77.45,2023_T2,New York District
8354-797,Elizabeth Taylor,Female,86.0,95.0,80.0,99.41,2024_T1,New York District
8205-169,Jennifer Williams,Female,24.0,72.0,21.0,87.95,2023_T2,New York District
1920-460,Robert Brown,Male,86.0,36.0,74.0,66.87,2023_T2,New York District
1616-158,Linda Wilson,Female,33.0,16.0,36.0,79.92,2023_T2,New York District
9307-493,Mary Johnson,Female,84.0,26.0,56.0,60.44,2024_T1,New York District
8368-929,William Smith,Male,52.0,70.0,9.0,85.32,2023_T2,New York District
9214-254,Elizabeth Wilson,Male,63.0,,53.0,80.76,2023_T2,New York District
2381-616,Mary Davis,Male,20.0,10.0,39.0,69.81,2023_T1,New York District
8199-636,Patricia Wilson,Male,53.0,97.0,54.0,84.42,2023_T2,New York District
7347-518,Jennifer Brown,Female,35.0,,82.0,68.6,2024_T1,New York District
6482-167,Elizabeth Smith,Female,97.0,72.0,25.0,83.87,2023_T1,New York District
5655-358,William Miller,Male,60.0,,,76.51,2023_T2,New York District
3317-458,Mary Taylor,Female,50.0,93.0,97.0,60.09,2024_T1,New York District
2388-417,Michael Williams,Female,16.0,73.0,56.0,98.48,2024_T1,New York District
9624-195,Jennifer Williams,Female,7.0,94.0,20.0,94.92,2024_T1,New York District
6940-416,Jennifer Smith,Male,81.0,88.0,11.0,99.22,2023_T1,New York District
4145-331,Jennifer Wilson,Male,9.0,15.0,70.0,61.58,2023_T1,New York District
2657-619,Mary Brown,Male,78.0,6.0,8.0,72.51,2024_T1,New York District
3147-711,Jennifer Taylor,Female,94.0,93.0,38.0,91.81,2023_T1,New York District
3712-838,John Williams,Female,23.0,98.0,59.0,86.01,2023_T1,New York District
4891-554,Michael Davis,Female,86.0,38.0,14.0,77.64,2024_T1,New York District
9749-344,Linda Jones,Female,32.0,15.0,41.0,89.51,2023_T2,New York District
8218-572,Patricia Davis,Female,12.0,12.0,17.0,99.61,2023_T2,New York District
7859-265,William Moore,Male,61.0,92.0,61.0,74.03,2024_T1,New York District
1854-756,John Brown,Female,9.0,29.0,24.0,99.36,2023_T2,New York District
9452-971,William Johnson,Male,44.0,13.0,29.0,60.13,2023_T2,New York District
5469-560,Mary Williams,Male,52.0,78.0,72.0,71.09,2023_T2,New York District
8391-457,Mary Jones,Male,,60.0,100.0,98.26,2023_T2,New York District
9224-482,James Miller,Male,10.0,61.0,,97.79,2023_T2,New York District
4678-128,Mary Davis,Female,92.0,62.0,53.0,76.06,2023_T1,New York District
3254-139,Jennifer Williams,Female,89.0,40.0,2.0,67.06,2023_T2,New York District
8349-730,John Wilson,Male,8.0,98.0,19.0,68.65,2023_T1,New York District
4533-955,James Brown,Male,61.0,16.0,87.0,90.33,2024_T1,New York District
7934-213,Elizabeth Moore,Female,88.0,,67.0,89.91,2023_T1,New York District
1782-344,Robert Johnson,Female,,28.0,,70.62,2024_T1,New York District
